articleKey,enSlug,deSlug,category,primaryKeywordEN,primaryQuestionEN,primaryKeywordDE,primaryQuestionDE,referenceCount,technicalNote
tvacLeadTimes,tvac-chamber-lead-time,tvac-kammer-lieferzeit,decisionSupport,TVAC chamber lead time,"Which engineering, procurement and acceptance steps determine TVAC delivery time?",Lieferzeit TVAC-Kammer,"Welche Engineering-, Beschaffungs- und Abnahmeschritte bestimmen die Lieferzeit einer TVAC-Kammer?",3,True
ecssStandardsOverview,ecss-tvac-standards,ecss-normen-tvac-tests,basics,TVAC test standards,"How do ECSS-E-ST-10-03C Rev.1, GSFC-STD-7000B and SMC-S-016 frame thermal-vacuum verification?",Normen für TVAC-Tests,"Wie rahmen ECSS-E-ST-10-03C Rev.1, GSFC-STD-7000B und SMC-S-016 die Thermalvakuum-Verifikation?",4,True
tvacAutomation,tvac-chamber-automation,tvac-automatisierung-steuerung,engineeringGuide,TVAC automation,"What must a modern chamber control system automate, protect and record?",TVAC-Automatisierung,"Was muss eine moderne Kammersteuerung automatisieren, schützen und dokumentieren?",3,True
inHouseVsExternalTesting,in-house-vs-external-tvac-testing,inhouse-vs-externe-tvac-tests,decisionSupport,in-house vs external TVAC testing,When does owning a TVAC chamber make more sense than using a test service?,eigene TVAC-Kammer oder Testdienstleister,Wann ist eine eigene TVAC-Kammer sinnvoller als eine externe Prüfdienstleistung?,3,False
opticsElectronicsTesting,testing-optics-electronics-vacuum,optik-elektronik-vakuumtest,applications,testing optics and electronics in vacuum,How do vacuum thermal effects and molecular contamination affect sensitive payloads?,Optik und Elektronik im Vakuumtest,Wie wirken sich fehlende Konvektion und molekulare Kontamination auf empfindliche Nutzlasten aus?,4,False
pumpingSystemSelection,tvac-pumping-systems,vakuumpumpstand-tvac,engineeringGuide,TVAC pumping systems,"How should a TVAC pumping train be selected for volume, gas load, pressure and turnaround time?",Vakuumpumpstand für TVAC,"Wie wird ein TVAC-Pumpstand für Volumen, Gaslast, Druck und Durchlaufzeit ausgelegt?",3,True
vacuumLevelsExplained,vacuum-levels-explained,vakuumbereiche-erklaert,basics,vacuum levels explained,Which vacuum range is needed for thermal-vacuum testing and why?,Vakuumbereiche erklärt,Welcher Vakuumbereich wird für Thermalvakuumtests benötigt und warum?,3,True
whatIsTvacTesting,what-is-thermal-vacuum-testing,was-ist-thermalvakuumtest,basics,what is thermal vacuum testing,What does a TVAC test reproduce and which failure mechanisms can it reveal?,Was ist ein Thermalvakuumtest,Was bildet ein TVAC-Test nach und welche Fehlermechanismen kann er sichtbar machen?,3,True
contaminationControl,contamination-control-tvac,kontaminationskontrolle-tvac,engineeringGuide,contamination control TVAC,How are molecular and particulate contamination prevented and monitored during TVAC testing?,Kontaminationskontrolle TVAC,Wie werden molekulare und partikuläre Kontamination im TVAC-Test verhindert und überwacht?,4,False
viewportsOpticalAccess,tvac-viewports-optical-access,schauglaeser-optischer-zugang,engineeringGuide,TVAC viewports optical access,Which viewport material and camera arrangement suit visual or infrared observation?,Schaugläser optischer Zugang TVAC,Welches Fenstermaterial und welche Kameraanordnung passen zu Sicht- oder Infrarotbeobachtung?,3,False
cryoShroudsThermalPlates,cryo-shrouds-thermal-plates,kryo-shrouds-thermalplatten,engineeringGuide,cryo shrouds thermal plates,"When does a TVAC setup need a shroud, a thermal plate or both?",Kryo-Shroud Thermalplatte,"Wann benötigt ein TVAC-Aufbau einen Shroud, eine Thermalplatte oder beides?",3,True
usedVsNewTvac,used-tvac-chamber-vs-new,gebrauchte-tvac-kammer-vs-neu,decisionSupport,used TVAC chamber vs new,When is a used TVAC chamber a sound investment and what must be inspected first?,gebrauchte TVAC-Kammer oder neu,Wann ist eine gebrauchte TVAC-Kammer sinnvoll und was muss vor dem Kauf geprüft werden?,3,False
